Mnemonic,Opcode,Addr Mode,Cycles
BRK,00,IMM,7
ORA,01,IZX,6
???,02,IMP,2
???,03,IMP,8
???,04,IMP,3
ORA,05,ZP0,3
ASL,06,ZP0,5
???,07,IMP,5
PHP,08,IMP,3
ORA,09,IMM,2
ASL,0A,IMP,2
???,0B,IMP,2
???,0C,IMP,4
ORA,0D,ABS,4
ASL,0E,ABS,6
???,0F,IMP,6
BPL,10,REL,2
ORA,11,IZY,5
???,12,IMP,2
???,13,IMP,8
???,14,IMP,4
ORA,15,ZPX,4
ASL,16,ZPX,6
???,17,IMP,6
CLC,18,IMP,2
ORA,19,ABY,4
???,1A,IMP,2
???,1B,IMP,7
???,1C,IMP,4
ORA,1D,ABX,4
ASL,1E,ABX,7
???,1F,IMP,7
JSR,20,ABS,6
AND,21,IZX,6
???,22,IMP,2
???,23,IMP,8
BIT,24,ZP0,3
AND,25,ZP0,3
ROL,26,ZP0,5
???,27,IMP,5
PLP,28,IMP,4
AND,29,IMM,2
ROL,2A,IMP,2
???,2B,IMP,2
BIT,2C,ABS,4
AND,2D,ABS,4
ROL,2E,ABS,6
???,2F,IMP,6
BMI,30,REL,2
AND,31,IZY,5
???,32,IMP,2
???,33,IMP,8
???,34,IMP,4
AND,35,ZPX,4
ROL,36,ZPX,6
???,37,IMP,6
SEC,38,IMP,2
AND,39,ABY,4
???,3A,IMP,2
???,3B,IMP,7
???,3C,IMP,4
AND,3D,ABX,4
ROL,3E,ABX,7
???,3F,IMP,7
RTI,40,IMP,6
EOR,41,IZX,6
???,42,IMP,2
???,43,IMP,8
???,44,IMP,3
EOR,45,ZP0,3
LSR,46,ZP0,5
???,47,IMP,5
PHA,48,IMP,3
EOR,49,IMM,2
LSR,4A,IMP,2
???,4B,IMP,2
JMP,4C,ABS,3
EOR,4D,ABS,4
LSR,4E,ABS,6
???,4F,IMP,6
BVC,50,REL,2
EOR,51,IZY,5
???,52,IMP,2
???,53,IMP,8
???,54,IMP,4
EOR,55,ZPX,4
LSR,56,ZPX,6
???,57,IMP,6
CLI,58,IMP,2
EOR,59,ABY,4
???,5A,IMP,2
???,5B,IMP,7
???,5C,IMP,4
EOR,5D,ABX,4
LSR,5E,ABX,7
???,5F,IMP,7
RTS,60,IMP,6
ADC,61,IZX,6
???,62,IMP,2
???,63,IMP,8
???,64,IMP,3
ADC,65,ZP0,3
ROR,66,ZP0,5
???,67,IMP,5
PLA,68,IMP,4
ADC,69,IMM,2
ROR,6A,IMP,2
???,6B,IMP,2
JMP,6C,IND,5
ADC,6D,ABS,4
ROR,6E,ABS,6
???,6F,IMP,6
BVS,70,REL,2
ADC,71,IZY,5
???,72,IMP,2
???,73,IMP,8
???,74,IMP,4
ADC,75,ZPX,4
ROR,76,ZPX,6
???,77,IMP,6
SEI,78,IMP,2
ADC,79,ABY,4
???,7A,IMP,2
???,7B,IMP,7
???,7C,IMP,4
ADC,7D,ABX,4
ROR,7E,ABX,7
???,7F,IMP,7
???,80,IMP,2
STA,81,IZX,6
???,82,IMP,2
???,83,IMP,6
STY,84,ZP0,3
STA,85,ZP0,3
STX,86,ZP0,3
???,87,IMP,3
DEY,88,IMP,2
???,89,IMP,2
TXA,8A,IMP,2
???,8B,IMP,2
STY,8C,ABS,4
STA,8D,ABS,4
STX,8E,ABS,4
???,8F,IMP,4
BCC,90,REL,2
STA,91,IZY,6
???,92,IMP,2
???,93,IMP,6
STY,94,ZPX,4
STA,95,ZPX,4
STX,96,ZPY,4
???,97,IMP,4
TYA,98,IMP,2
STA,99,ABY,5
TXS,9A,IMP,2
???,9B,IMP,5
???,9C,IMP,5
STA,9D,ABX,5
???,9E,IMP,5
???,9F,IMP,5
LDY,A0,IMM,2
LDA,A1,IZX,6
LDX,A2,IMM,2
???,A3,IMP,6
LDY,A4,ZP0,3
LDA,A5,ZP0,3
LDX,A6,ZP0,3
???,A7,IMP,3
TAY,A8,IMP,2
LDA,A9,IMM,2
TAX,AA,IMP,2
???,AB,IMP,2
LDY,AC,ABS,4
LDA,AD,ABS,4
LDX,AE,ABS,4
???,AF,IMP,4
BCS,B0,REL,2
LDA,B1,IZY,5
???,B2,IMP,2
???,B3,IMP,5
LDY,B4,ZPX,4
LDA,B5,ZPX,4
LDX,B6,ZPY,4
???,B7,IMP,4
CLV,B8,IMP,2
LDA,B9,ABY,4
TSX,BA,IMP,2
???,BB,IMP,4
LDY,BC,ABX,4
LDA,BD,ABX,4
LDX,BE,ABY,4
???,BF,IMP,4
CPY,C0,IMM,2
CMP,C1,IZX,6
???,C2,IMP,2
???,C3,IMP,8
CPY,C4,ZP0,3
CMP,C5,ZP0,3
DEC,C6,ZP0,5
???,C7,IMP,5
INY,C8,IMP,2
CMP,C9,IMM,2
DEX,CA,IMP,2
???,CB,IMP,2
CPY,CC,ABS,4
CMP,CD,ABS,4
DEC,CE,ABS,6
???,CF,IMP,6
BNE,D0,REL,2
CMP,D1,IZY,5
???,D2,IMP,2
???,D3,IMP,8
???,D4,IMP,4
CMP,D5,ZPX,4
DEC,D6,ZPX,6
???,D7,IMP,6
CLD,D8,IMP,2
CMP,D9,ABY,4
NOP,DA,IMP,2
???,DB,IMP,7
???,DC,IMP,4
CMP,DD,ABX,4
DEC,DE,ABX,7
???,DF,IMP,7
CPX,E0,IMM,2
SBC,E1,IZX,6
???,E2,IMP,2
???,E3,IMP,8
CPX,E4,ZP0,3
SBC,E5,ZP0,3
INC,E6,ZP0,5
???,E7,IMP,5
INX,E8,IMP,2
SBC,E9,IMM,2
NOP,EA,IMP,2
???,EB,IMP,2
CPX,EC,ABS,4
SBC,ED,ABS,4
INC,EE,ABS,6
???,EF,IMP,6
BEQ,F0,REL,2
SBC,F1,IZY,5
???,F2,IMP,2
???,F3,IMP,8
???,F4,IMP,4
SBC,F5,ZPX,4
INC,F6,ZPX,6
???,F7,IMP,6
SED,F8,IMP,2
SBC,F9,ABY,4
NOP,FA,IMP,2
???,FB,IMP,7
???,FC,IMP,4
SBC,FD,ABX,4
INC,FE,ABX,7
???,FF,IMP,7
